id,freq,grammar,sv,grammar2,fa,wclass,ex
1405,7213,,normal,,,adjective,
1406,7211,att,rikta,,,verb,
1407,7210,en,kurs,,,noun-en,
1408,7210,ett,påstående,,,noun-ett,
1409,7202,,märklig,,,adjective,
1410,7196,,öst,,,noun-en,
1411,7191,en,affär,,,noun-en,
1412,7181,,tidigt,,,adverb,
1413,7179,en,upplevelse,,,noun-en,
1414,7174,en,riktning,,,noun-en,
1415,7163,,vetenskap,,,noun-en,
1416,7161,ett,avsnitt,,,noun-ett,
1417,7161,,handel,,,noun-en,
1418,7158,en,sträckning,,,noun-en,
1419,7144,att,locka,,,verb,
1420,7136,att,redovisa,,,verb,
1421,7134,ett,uttalande,,,noun-ett,
1422,7129,,respektive,,,conj,
1423,7124,att,para,,,verb,e.g. para ihop
1424,7116,att,störa,,,verb,
1425,7114,,ihåg,,,particle,e.g. komma ihåg
1426,7104,,någonstans (vardagl. nånstans),,,adverb,
1427,7095,,respekt,,,noun-en,
1428,7094,att,rapportera,,,verb,
1429,7092,,knappt,,,adverb,
1430,7088,,direkt,,,adjective,
1431,7087,,enkelt,,,adverb,
1432,7079,en,omständighet,,,noun-en,
1433,7074,,hänsyn,,,noun-en,e.g. ta hänsyn till
1434,7072,,ikväll (el. i kväll),,,adverb,
1435,7059,att,begära,,,verb,
1436,7055,en,rubrik,,,noun-en,
1437,7052,att,producera,,,verb,
1438,7048,en,utsträckning,,,noun-en,
1439,7046,,anonym,,,adjective,
1440,7038,att,begå,,,verb,
1441,7021,,bar,,,adjective,
1442,7021,en,institution,,,noun-en,
1443,7020,att,förstöra,,,verb,
1444,7015,en,boll,,,noun-en,
1445,7010,att,grunda,,,verb,
1446,6993,,förbi,,,prep,
1447,6992,,luft,,,noun-en,
1448,6980,,industri,,,noun-en,
1449,6962,ett,tåg,,,noun-ett,
1450,6957,att,skada,,,verb,
1451,6946,,nordisk,,,adjective,
1452,6936,att,uppfylla,,,verb,
1453,6934,att,akta,,,verb,
1454,6919,en,förhandling,,,noun-en,
1455,6908,att,syfta,,,verb,e.g. syfta på/till
1456,6892,en,"bror (el. broder, vardagl. brorsa)",,,noun-en,
1457,6892,en,byggnad,,,noun-en,
1458,6889,en,hälft,,,noun-en,e.g. hälften
1459,6889,en,skrift,,,noun-en,
1460,6879,,ansvarig,,,adjective,
1461,6870,,allmänhet,,,noun-en,e.g. i allmänhet
1462,6868,att,orsaka,,,verb,
1463,6866,,i slutet,,,prep,
1464,6863,,israelisk,,,adjective,
1465,6851,,drygt,,,adverb,
1466,6850,en,lever,,,noun-en,
1467,6848,en,bloggare,,,noun-en,
1468,6825,en,tävling,,,noun-en,
1469,6816,,kommunikation,,,noun-en,
1470,6801,,kritisk,,,adjective,
1471,6793,att,plocka,,,verb,e.g. plocka upp/ut
1472,6792,en,patient,,,noun-en,
1473,6787,att,sjunga,,,verb,
1474,6784,att,vakna,,,verb,
1475,6777,,hälsa,,,noun-en,
1476,6777,ett,piratparti,,,noun-ett,e.g. Piratpartiet
1477,6775,ett,centrum,,,noun-ett,
1478,6774,,otroligt,,,adverb,
1479,6774,,roligt,,,adverb,
1480,6761,,mörk,,,adjective,
1481,6736,att,träna,,,verb,
1482,6734,ett,bord,,,noun-ett,
1483,6733,,förrän,,,subj,
1484,6732,,dansk,,,adjective,
1485,6729,att,vidta,,,verb,
1486,6728,,reda,,,noun-en,e.g. ta reda på
1487,6712,att,mana,,,verb,
1488,6708,en,väljare,,,noun-en,
1489,6699,att,uppmana,,,verb,
1490,6693,en,publik,,,noun-en,
1491,6680,att,lida,,,verb,
1492,6680,ett,motstånd,,,noun-ett,
1493,6676,en,lägenhet,,,noun-en,
1494,6665,ett,vänsterparti,,,noun-ett,
1495,6664,,rädd,,,adjective,
1496,6652,en,användare,,,noun-en,
1497,6648,,inre,,,adjective,
1498,6645,att,avslöja,,,verb,
1499,6642,en,fiende,,,noun-en,
1500,6635,ett,lopp,,,noun-ett,
1501,6631,att,återvända,,,verb,
1502,6630,en,utmaning,,,noun-en,
1503,6628,ett,hopp,,,noun-ett,
1504,6628,,konkurrens,,,noun-en,
1505,6620,en,dröm,,,noun-en,
1506,6616,en,detalj,,,noun-en,
1507,6610,,nedan,,,adverb,
1508,6605,att,placera,,,verb,
1509,6595,,litteratur,,,noun-en,
1510,6588,att,ana,,,verb,
1511,6587,en,inställning,,,noun-en,
1512,6580,en,armé,,,noun-en,
1513,6579,,lös,,,adjective,
1514,6571,att,pröva,,,verb,
1515,6568,en,egenskap,,,noun-en,
1516,6568,att,rekommendera,,,verb,
